kanji,nihongo,chinese
エレベーター,elevator,電梯
バス,bus,巴士
バター,butter,奶油
パン,麵包
バイオリン,violin,小提琴
コート,coat,外套
シャツ,shirt,襯衫
シャワー,shower,淋浴裝置
スカート,skirt,裙子
ズボン,jupon〈法〉,長褲
セーター,sweater,毛衣
ネクタイ,necktie,領帶
ワイシャツ（Yシャツ）,white shirt,襯衫
ボタン,button,鈕釦
ハンカチ,handkerchief,手帕、方巾
アパート,apartment,公寓
マンション,mansion,住宅大樓
ポケット,pocket,口袋
ポスト,post,郵筒
カメラ,camera,照相機
フィルム,film,底片
ギター,guitar,吉他
テープ,tape,錄音帶
テープレコーダー,tape recorder,錄音機
テレビ,television,電視
ラジオ,radio,收音機
レコード,record,唱片
カレンダー,calendar,月曆
スリッパ,slipper,拖鞋
ストーブ,stove,爐子
テーブル,table,桌子
ドア,door,門
トイレ,toilet,廁所
ベッド,bed,床
デパート,department,百貨公司
プール,pool,游泳池
レストラン,restaurant〈法〉,餐廳
ホテル,hotel,飯店
コップ,kop〈荷〉,杯子
グラス,glass,玻璃杯
スプーン,spoon,湯匙
ナイフ,knife,刀子
フォーク,fork,叉子
マッチ,match,火柴
ライター,lighter,打火機
クラス,class,班級
テスト,test,測驗
ニュース,news,新聞
ノート,note,筆記本
ページ,page,頁數
ボールペン,ball point pen,原子筆
ポスター,poster,海報
プレゼント,present,禮物
グラム,gramme〈法〉,公克
キロメートル,kilometer,公里
メートル,meter,公尺
キログラム,kilogram,公斤
スーパー,supermarket,超市
バナナ,banana,香蕉
オレンジ,orange,柳丁；柑橘
メロン,melon,香瓜
ミルク,milk,牛奶
クーラー,cooler,冷氣
ストーブ,stove,暖爐
サッカー,soccer,足球
カーテン,curtain,窗簾
コーヒー,coffee,咖啡
ジュース,juice,果汁
ロビー,lobby,大廳
コンピューター,computer,電腦
アルバイト,arbeit〈德〉,打工
ピアノ,piano,鋼琴
スキー,ski,滑雪
ビール,beer,啤酒
アメリカ,America,美國
イギリス,Inglez〈葡〉,英國
フランス,France,法國
タイ,Tailand,泰國
インド,Indo,印度
インドネシア,Indonesia,印尼
スイス,Suisse,瑞士
フィリピン,Philippine,菲律賓
オーストラリア,Australia,澳洲
タクシー,taxi,計程車
ドイツ,Deutsch,德國
ブラジル,Brazil,巴西
イタリア,Italy,義大利